gmina_code,gmina_name,tot_pop_1998,working_pop_1998,higher_1998,post_secondary_1998,secondary_1998,secondary_general_1998,secondary_vocational_1998,vocational_1998,primary_1998,tot_pop_2002,working_pop_2002,higher_2002,post_secondary_2002,secondary_2002,secondary_general_2002,secondary_vocational_2002,vocational_2002,primary_2002,tot_pop_abs_change,tot_pop_pct_change,working_pop_abs_change,working_pop_pct_change,higher_abs_change,higher_pct_change,post_secondary_abs_change,post_secondary_pct_change,secondary_abs_change,secondary_pct_change,secondary_general_abs_change,secondary_general_pct_change,secondary_vocational_abs_change,secondary_vocational_pct_change,vocational_abs_change,vocational_pct_change,primary_abs_change,primary_pct_change
1008000,Powiat pabianicki,121298.0,65677.0,4785.0,,22791.0,,,19082.0,41584.0,120272.0,75631.0,8939.0,3292.0,30517.0,9760.0,20757.0,21654.0,34578.0,-1026.0,-0.008458507147685864,9954.0,0.15155990681669382,4154.0,0.8681295715778474,,,7726.0,0.33899346233162214,,,,,2572.0,0.1347867099884708,-7006.0,-0.16847826086956522
1009000,Powiat pajęczański,55480.0,27371.0,850.0,,6020.0,,,8830.0,19766.0,54379.0,31573.0,2130.0,1156.0,9286.0,2718.0,6568.0,11646.0,17870.0,-1101.0,-0.019844989185291997,4202.0,0.15352014906287675,1280.0,1.5058823529411764,,,3266.0,0.5425249169435216,,,,,2816.0,0.31891279728199323,-1896.0,-0.09592229080238794
1010000,Powiat piotrkowski,95505.0,46666.0,1102.0,,8871.0,,,14355.0,37358.0,90180.0,52342.0,2973.0,1405.0,14063.0,3675.0,10388.0,18952.0,32054.0,-5325.0,-0.05575624312863201,5676.0,0.12163030900441435,1871.0,1.6978221415607986,,,5192.0,0.5852778717168301,,,,,4597.0,0.32023685127133406,-5304.0,-0.14197762192836877
1011000,Powiat poddębicki,46285.0,23263.0,767.0,,4868.0,,,6326.0,18204.0,43254.0,25462.0,1714.0,872.0,7101.0,1955.0,5146.0,8392.0,16123.0,-3031.0,-0.0654855784811494,2199.0,0.094527790912608,947.0,1.2346805736636246,,,2233.0,0.4587099424815119,,,,,2066.0,0.3265886816313626,-2081.0,-0.11431553504724236
1012000,Powiat radomszczański,124782.0,63204.0,2977.0,,16876.0,,,20426.0,45533.0,120464.0,71980.0,6538.0,2968.0,24431.0,6454.0,17977.0,24697.0,38399.0,-4318.0,-0.03460434998637624,8776.0,0.13885197139421557,3561.0,1.1961706415854887,,,7555.0,0.44767717468594453,,,,,4271.0,0.20909624987760697,-7134.0,-0.15667757450640196
1013000,Powiat rawski,50807.0,25749.0,1093.0,,6325.0,,,7387.0,17930.0,50061.0,29729.0,2477.0,1108.0,9482.0,2217.0,7265.0,9746.0,15759.0,-746.0,-0.014683016119826009,3980.0,0.15456910947997982,1384.0,1.2662397072278133,,,3157.0,0.4991304347826087,,,,,2359.0,0.31934479490997697,-2171.0,-0.12108198549916341
1014000,Powiat sieradzki,122425.0,61497.0,3588.0,,17246.0,,,18181.0,40603.0,122708.0,72730.0,7005.0,3114.0,25469.0,8269.0,17200.0,22744.0,37894.0,283.0,0.0023116193587910967,11233.0,0.18265931671463648,3417.0,0.9523411371237458,,,8223.0,0.47680621593412964,,,,,4563.0,0.250976293933227,-2709.0,-0.06671920794029998
1015000,Powiat skierniewicki,41638.0,20611.0,425.0,,4047.0,,,7659.0,15058.0,38550.0,21578.0,1270.0,463.0,6433.0,1353.0,5080.0,9121.0,12501.0,-3088.0,-0.07416302416062251,967.0,0.046916694968706034,845.0,1.988235294117647,,,2386.0,0.5895725228564369,,,,,1462.0,0.19088653871262568,-2557.0,-0.16981006773807944
1016000,Powiat tomaszowski,127308.0,66126.0,3574.0,,18916.0,,,21588.0,43142.0,122209.0,74670.0,6821.0,2588.0,26755.0,6845.0,19910.0,26276.0,36209.0,-5099.0,-0.04005247117227511,8544.0,0.12920787587333274,3247.0,0.908505875769446,,,7839.0,0.414411080566716,,,,,4688.0,0.21715768019269965,-6933.0,-0.16070186824903807
1017000,Powiat wieluński,80154.0,39677.0,2041.0,,11297.0,,,13642.0,25471.0,78997.0,46634.0,4273.0,1960.0,15694.0,4077.0,11617.0,17809.0,22493.0,-1157.0,-0.014434713177134018,6957.0,0.17534087758651107,2232.0,1.0935815776580107,,,4397.0,0.38921837656014874,,,,,4167.0,0.3054537457850755,-2978.0,-0.11691727847355816
1018000,Powiat wieruszowski,43031.0,20729.0,800.0,,5216.0,,,7027.0,15168.0,42563.0,25333.0,1746.0,1021.0,7830.0,1540.0,6290.0,9976.0,13031.0,-468.0,-0.010875880179405545,4604.0,0.2221042983260167,946.0,1.1825,,,2614.0,0.5011503067484663,,,,,2949.0,0.41966699871922586,-2137.0,-0.1408887130801688
1019000,Powiat zduńskowolski,67751.0,34915.0,2084.0,,11732.0,,,11018.0,21505.0,68027.0,41859.0,4241.0,1858.0,16555.0,5848.0,10707.0,12842.0,19603.0,276.0,0.004073740608994701,6944.0,0.19888300157525418,2157.0,1.0350287907869482,,,4823.0,0.41109785202863963,,,,,1824.0,0.16554728625884915,-1902.0,-0.08844454777958614
1020000,Powiat zgierski,160823.0,86863.0,5267.0,,29153.0,,,25451.0,54244.0,159639.0,100648.0,10836.0,4599.0,39352.0,11714.0,27638.0,29765.0,45272.0,-1184.0,-0.0073621310384708654,13785.0,0.15869817989247437,5569.0,1.0573381431554965,,,10199.0,0.34984392686858984,,,,,4314.0,0.16950218066087777,-8972.0,-0.1654007816532704
